--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
087.806  000.134  000.073: require('vim.lsp._changetracking')
087.904  000.097  000.097: require('vim.lsp.rpc')
088.517  004.909  001.013: require('vim.lsp')
090.720  002.202  002.202: require('lspconfig.util')
090.735  007.920  000.808: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-lspconfig/plugin/lspconfig.lua
092.115  000.138  000.138: sourcing /Users/phaedrus/.local/share/nvim/lazy/go.nvim/ftdetect/filetype.vim
092.799  000.025  000.025: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-markdown/ftdetect/markdown.vim
093.217  000.077  000.077: sourcing /Users/phaedrus/.local/share/nvim/lazy/rust.vim/plugin/cargo.vim
093.270  000.019  000.019: sourcing /Users/phaedrus/.local/share/nvim/lazy/rust.vim/plugin/rust.vim
093.339  000.016  000.016: sourcing /Users/phaedrus/.local/share/nvim/lazy/rust.vim/ftdetect/rust.vim
094.273  000.010  000.010: sourcing /Users/phaedrus/.local/share/nvim/lazy/goyo.vim/plugin/goyo.vim
094.663  000.026  000.026: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-coffee-script/ftdetect/coffee.vim
094.711  000.011  000.011: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
096.612  000.011  000.011: sourcing /Users/phaedrus/.local/share/nvim/lazy/nightfox.nvim/plugin/nightfox.vim
097.901  000.772  000.772: sourcing /Users/phaedrus/.local/share/nvim/lazy/github-nvim-theme/plugin/github_theme.lua
102.086  000.570  000.570: require('supermaven-nvim.config')
102.091  000.652  000.081: require('supermaven-nvim.logger')
102.094  000.778  000.126: require('supermaven-nvim.util')
102.098  001.070  000.292: require('supermaven-nvim.completion_preview')
103.179  000.158  000.158: require('supermaven-nvim.textual')
103.300  000.119  000.119: require('supermaven-nvim.binary.binary_fetcher')
103.322  000.431  000.154: require('supermaven-nvim.binary.binary_handler')
103.395  000.072  000.072: require('supermaven-nvim.document_listener')
103.399  000.604  000.101: require('supermaven-nvim.api')
103.401  001.301  000.697: require('supermaven-nvim.commands')
103.402  004.980  002.608: require('supermaven-nvim')
111.723  002.058  002.058: require('cmp.utils.api')
111.936  000.069  000.069: require('cmp.types.cmp')
112.123  000.090  000.090: require('cmp.utils.misc')
112.272  000.334  000.244: require('cmp.types.lsp')
112.332  000.059  000.059: require('cmp.types.vim')
112.334  000.607  000.145: require('cmp.types')
112.405  000.070  000.070: require('cmp.utils.highlight')
112.551  000.069  000.069: require('cmp.utils.debug')
112.558  000.152  000.083: require('cmp.utils.autocmd')
113.753  004.271  001.384: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
114.058  000.186  000.186: require('user.cmp')
114.718  000.203  000.203: require('cmp.utils.char')
114.725  000.418  000.215: require('cmp.utils.str')
115.182  000.209  000.209: require('cmp.utils.buffer')
115.199  000.366  000.157: require('cmp.utils.keymap')
115.201  000.475  000.109: require('cmp.utils.feedkeys')
115.643  000.148  000.148: require('cmp.config.mapping')
115.704  000.061  000.061: require('cmp.utils.cache')
115.823  000.061  000.061: require('cmp.config.compare')
115.824  000.118  000.057: require('cmp.config.default')
115.863  000.532  000.206: require('cmp.config')
115.873  000.672  000.139: require('cmp.utils.async')
115.986  000.054  000.054: require('cmp.utils.pattern')
115.988  000.113  000.059: require('cmp.context')
116.222  000.102  000.102: require('cmp.utils.snippet')
116.310  000.086  000.086: require('cmp.matcher')
116.314  000.262  000.074: require('cmp.entry')
116.318  000.329  000.067: require('cmp.source')
116.439  000.058  000.058: require('cmp.utils.event')
116.650  000.052  000.052: require('cmp.utils.options')
116.653  000.118  000.066: require('cmp.utils.window')
116.654  000.214  000.096: require('cmp.view.docs_view')
116.722  000.067  000.067: require('cmp.view.custom_entries_view')
116.786  000.063  000.063: require('cmp.view.wildmenu_entries_view')
116.846  000.059  000.059: require('cmp.view.native_entries_view')
116.994  000.147  000.147: require('cmp.view.ghost_text_view')
117.001  000.682  000.074: require('cmp.view')
119.451  005.277  002.588: require('cmp.core')
120.038  000.404  000.404: require('cmp.config.sources')
120.103  000.061  000.061: require('cmp.config.window')
120.146  006.086  000.344: require('cmp')
120.277  000.056  000.056: require('luasnip.session.enqueueable_operations')
120.539  000.050  000.050: require('luasnip.util.events')
120.544  000.121  000.071: require('luasnip.nodes.node')
121.194  000.647  000.647: require('luasnip.nodes.insertNode')
121.585  000.390  000.390: require('luasnip.nodes.textNode')
121.657  000.070  000.070: require('luasnip.util.mark')
121.721  000.063  000.063: require('luasnip.util.pattern_tokenizer')
121.779  000.058  000.058: require('luasnip.util.dict')
126.970  005.137  005.137: require('luasnip.util.jsregexp')
126.978  005.197  000.060: require('luasnip.nodes.util.trig_engines')
127.299  006.963  000.417: require('luasnip.nodes.snippet')
127.914  000.064  000.064: require('luasnip.util.parser.neovim_ast')
127.976  000.061  000.061: require('luasnip.util.str')
130.149  002.170  002.170: require('luasnip.util.jsregexp')
130.393  000.243  000.243: require('luasnip.util.directed_graph')
130.396  002.632  000.094: require('luasnip.util.parser.ast_utils')
130.729  000.331  000.331: require('luasnip.nodes.functionNode')
130.834  000.104  000.104: require('luasnip.nodes.choiceNode')
130.904  000.070  000.070: require('luasnip.nodes.dynamicNode')
130.960  000.054  000.054: require('luasnip.util.functions')
130.963  003.662  000.471: require('luasnip.util.parser.ast_parser')
131.066  000.102  000.102: require('luasnip.util.parser.neovim_parser')
131.070  010.791  000.065: require('luasnip.util.parser')
131.126  000.056  000.056: require('luasnip.nodes.snippetProxy')
131.412  000.283  000.283: require('luasnip.util.jsonc')
131.571  000.059  000.059: require('luasnip.nodes.duplicate')
131.572  000.158  000.099: require('luasnip.loaders.snippet_cache')
131.579  011.432  000.088: require('luasnip/loaders/from_vscode')
136.368  000.403  000.403: require('luasnip.nodes.multiSnippet')
142.875  038.891  016.514: require('cmp')
143.288  000.411  000.411: require('supermaven-nvim.cmp')
143.487  000.105  000.105: require('vim.version')
145.042  000.114  000.114: require('vim.iter')
148.236  000.031  000.031: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
149.030  000.011  000.011: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-slim/ftdetect/slim.vim
151.757  000.903  000.903: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-ts-context-commentstring/plugin/ts_context_commentstring.lua
153.788  000.760  000.760: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
