--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
081.666  000.319  000.165: require('luasnip.util.ext_opts')
081.897  000.075  000.075: require('luasnip.util.lazy_table')
081.972  000.074  000.074: require('luasnip.extras.filetype_functions')
081.983  000.234  000.086: require('luasnip.default_config')
081.985  000.318  000.083: require('luasnip.session')
081.987  003.302  002.666: require('luasnip.config')
082.217  000.123  000.123: require('luasnip.util.util')
082.632  000.335  000.335: require('luasnip.nodes.key_indexer')
082.703  000.070  000.070: require('luasnip.util.feedkeys')
082.708  000.490  000.085: require('luasnip.nodes.util')
082.869  000.069  000.069: require('luasnip.session.snippet_collection.source')
082.927  000.057  000.057: require('luasnip.util.table')
082.989  000.061  000.061: require('luasnip.util.auto_table')
082.995  000.286  000.100: require('luasnip.session.snippet_collection')
083.207  000.069  000.069: require('luasnip.util.select')
083.287  000.079  000.079: require('luasnip.util.time')
087.783  004.723  004.575: require('luasnip.util._builtin_vars')
088.004  005.007  000.284: require('luasnip.util.environ')
088.628  000.624  000.624: require('luasnip.util.extend_decorator')
088.947  000.215  000.215: require('luasnip.util.path')
089.342  000.309  000.309: require('luasnip.util.log')
089.346  000.398  000.089: require('luasnip.loaders.util')
089.449  000.101  000.101: require('luasnip.loaders.data')
089.556  000.107  000.107: require('luasnip.loaders.fs_watchers')
089.658  001.029  000.208: require('luasnip.loaders')
089.687  007.697  000.138: require('luasnip')
089.783  014.466  002.117: sourcing /Users/phaedrus/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
089.859  000.015  000.015: sourcing /Users/phaedrus/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
090.427  000.028  000.028: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-markdown/ftdetect/markdown.vim
094.198  000.583  000.583: require('supermaven-nvim.config')
094.201  000.667  000.084: require('supermaven-nvim.logger')
094.204  000.775  000.108: require('supermaven-nvim.util')
094.206  000.939  000.164: require('supermaven-nvim.completion_preview')
095.381  000.058  000.058: require('supermaven-nvim.textual')
095.446  000.063  000.063: require('supermaven-nvim.binary.binary_fetcher')
095.466  000.216  000.095: require('supermaven-nvim.binary.binary_handler')
095.522  000.055  000.055: require('supermaven-nvim.document_listener')
095.524  000.335  000.064: require('supermaven-nvim.api')
095.525  001.318  000.983: require('supermaven-nvim.commands')
095.527  004.790  002.534: require('supermaven-nvim')
096.813  000.110  000.110: require('cmp.utils.char')
096.817  000.167  000.057: require('cmp.utils.str')
097.190  000.049  000.049: require('cmp.utils.buffer')
